A,B,support,confidence,lift,count_pair,count_A,count_B
1767,1766,0.024133663366336634,0.8387096774193549,31.519879969992502,78,93,86
1363,1162,0.02073019801980198,0.8933333333333333,30.392140350877195,67,75,95
1188,1162,0.02103960396039604,0.85,28.917894736842108,68,80,95
1767,1768,0.024443069306930694,0.8494623655913979,27.182795698924732,79,93,101
1746,1770,0.027537128712871287,0.839622641509434,26.346217255907675,89,106,103
1766,1768,0.021658415841584157,0.813953488372093,26.046511627906977,70,86,101
1768,1769,0.027537128712871287,0.8811881188118812,25.89090909090909,89,101,110
1770,1769,0.026918316831683168,0.8446601941747572,24.817652250661958,87,103,110
1746,1769,0.027537128712871287,0.839622641509434,24.669639794168095,89,106,110
1769,1767,0.022896039603960396,0.6727272727272727,23.379081133919843,74,110,93
1768,1746,0.023824257425742575,0.7623762376237624,23.245283018867923,77,101,106
1768,1770,0.022586633663366336,0.7227722772277227,22.679611650485437,73,101,103
1766,1769,0.02042079207920792,0.7674418604651163,22.548837209302324,66,86,110
1161,1160,0.021658415841584157,0.6730769230769231,17.831021437578816,70,104,122
1180,1610,0.022277227722772276,0.549618320610687,14.680714150526782,72,131,121
1114,1115,0.020111386138613862,0.5752212389380531,14.300884955752212,65,113,130
1115,1028,0.026608910891089108,0.6615384615384615,12.503463787674313,86,130,171
1152,1028,0.02073019801980198,0.6320754716981132,11.94659604987311,67,106,171
1178,1180,0.02599009900990099,0.45901639344262296,11.324740332874484,84,183,131
1114,1028,0.020111386138613862,0.5752212389380531,10.872017802618641,65,113,171
1178,1610,0.022586633663366336,0.3989071038251366,10.655105450932576,73,183,121
1260,1219,0.020111386138613862,0.3651685393258427,10.087390761548066,65,178,117
1014,1020,0.03001237623762376,0.6139240506329114,10.021224907300859,97,158,198
1028,1189,0.029084158415841586,0.5497076023391813,9.815773319117314,94,171,181
1180,1176,0.026608910891089108,0.6564885496183206,9.600773721114987,86,131,221
1115,1020,0.023205445544554455,0.5769230769230769,9.417249417249417,75,130,198
1189,1020,0.03217821782178218,0.574585635359116,9.379094815558904,104,181,198
1103,1020,0.02042079207920792,0.5739130434782609,9.368115942028986,66,115,198
1178,1176,0.03589108910891089,0.6338797814207651,9.270133273990554,116,183,221
1014,1028,0.023824257425742575,0.4873417721518987,9.21104448885928,77,158,171
1020,1028,0.0297029702970297,0.48484848484848486,9.163919900762007,96,198,171
1149,1151,0.040532178217821783,0.7043010752688172,9.10520430107527,131,186,250
1178,1241,0.027227722772277228,0.4808743169398907,9.088805803214777,88,183,171
1115,1189,0.02042079207920792,0.5076923076923077,9.065533361665958,66,130,181
1105,1178,0.024443069306930694,0.4906832298136646,8.666055730916742,79,161,183
1014,1189,0.022277227722772276,0.45569620253164556,8.137072522554025,72,158,181
1105,1176,0.027227722772277228,0.546583850931677,7.993479666113937,88,161,221
1176,1241,0.028774752475247526,0.42081447963800905,7.953639755497341,93,221,171
1178,1175,0.03650990099009901,0.644808743169399,7.605919189501815,118,183,274
1105,1260,0.02042079207920792,0.40993788819875776,7.443366599204411,66,161,178
1178,1174,0.023824257425742575,0.4207650273224044,7.119961090607388,77,183,191
1260,1178,0.021967821782178217,0.398876404494382,7.044636826917173,71,178,183
1134,1137,0.02103960396039604,0.7727272727272727,6.731683410928693,68,88,371
1269,1140,0.034962871287128716,0.3896551724137931,6.628239564428313,113,290,190
1176,1174,0.026608910891089108,0.3891402714932127,6.584823861078866,86,221,191
1262,1137,0.02629950495049505,0.7522123893805309,6.5529661522314715,85,113,371
1105,1175,0.027537128712871287,0.5527950310559007,6.5205603663236165,89,161,274
1102,1175,0.0213490099009901,0.5476190476190477,6.45950643030935,69,126,274
1174,1175,0.03217821782178218,0.5445026178010471,6.422746207054687,104,191,274
1180,1175,0.021967821782178217,0.5419847328244275,6.393046191564049,71,131,274
1106,1175,0.02103960396039604,0.5396825396825397,6.365890395087475,68,126,274
1178,1181,0.038056930693069306,0.6721311475409836,6.351835873837599,123,183,342
1178,1177,0.03001237623762376,0.5300546448087432,6.321537313733793,97,183,271
1555,1044,0.028155940594059407,0.7338709677419355,6.291434927697441,91,124,377
1177,1241,0.027846534653465347,0.33210332103321033,6.276946979996116,90,271,171
1555,1166,0.023824257425742575,0.6209677419354839,6.252235956185308,77,124,321
1174,1181,0.038985148514851485,0.6596858638743456,6.234224304216038,126,191,342
1241,1175,0.027537128712871287,0.52046783625731,6.1392410466555685,89,171,274
1175,1181,0.053836633663366336,0.635036496350365,6.0012805736970165,174,274,342
1176,1175,0.034653465346534656,0.5067873303167421,5.977870991181424,112,221,274
1044,1167,0.07147277227722772,0.6127320954907162,5.964910038030105,231,377,332
1177,1174,0.029393564356435642,0.3505535055350554,5.9318792140801,95,271,191
1180,1177,0.020111386138613862,0.4961832061068702,5.917579786484887,65,131,271
1175,1260,0.027227722772277228,0.32116788321167883,5.831542688427787,88,274,178
1177,1181,0.05136138613861386,0.6125461254612546,5.788739992663085,166,271,342
1006,1167,0.029084158415841586,0.5911949685534591,5.7552474047131925,94,159,332
1176,1177,0.0327970297029703,0.4796380090497738,5.720258469553021,106,221,271
1176,1260,0.02103960396039604,0.3076923076923077,5.586862575626621,68,221,178
1044,1166,0.06466584158415842,0.5543766578249337,5.581761240156342,209,377,321
1426,1163,0.0510519801980198,0.5978260869565217,5.489130434782608,165,276,352
1177,1175,0.038985148514851485,0.46494464944649444,5.4843106095294525,126,271,274
1105,1177,0.022586633663366336,0.453416149068323,5.4075313423941695,73,161,271
1176,1181,0.038985148514851485,0.5701357466063348,5.387949511788521,126,221,342
1006,1166,0.02629950495049505,0.5345911949685535,5.382550598561884,85,159,321
1241,1181,0.03001237623762376,0.5672514619883041,5.360692178790056,97,171,342
1180,1181,0.022896039603960396,0.5648854961832062,5.338333110129013,74,131,342
1006,1044,0.03063118811881188,0.6226415094339622,5.337870977428556,99,159,377
1262,1163,0.020111386138613862,0.5752212389380531,5.281576830249397,65,113,352
1260,1177,0.024133663366336634,0.43820224719101125,5.226087317052945,78,178,271
1176,1020,0.0213490099009901,0.31221719457013575,5.096393802276156,69,221,198
1610,1181,0.020111386138613862,0.5371900826446281,5.076603354115316,65,121,342
1014,1175,0.02103960396039604,0.43037974683544306,5.076596137854569,68,158,274
1105,1181,0.026608910891089108,0.5341614906832298,5.047982274526897,86,161,342
1166,1167,0.05136138613861386,0.5171339563862928,5.034267912772585,166,321,332
1269,1137,0.050742574257425746,0.5655172413793104,4.926554512501162,164,290,371
1102,1181,0.020111386138613862,0.5158730158730159,4.875150840063122,65,126,342
1260,1181,0.028155940594059407,0.5112359550561798,4.831329259478284,91,178,342
1020,1175,0.025061881188118813,0.4090909090909091,4.8254810882548105,81,198,274
1140,1137,0.03186881188118812,0.5421052631578948,4.722598950205703,103,190,371
1555,1137,0.02073019801980198,0.5403225806451613,4.707068950526041,67,124,371
1163,1164,0.07797029702970297,0.7159090909090909,4.424126542673388,252,352,523
1137,1166,0.050433168316831686,0.4393530997304582,4.423642424700439,163,371,321
1426,1164,0.05847772277227723,0.6847826086956522,4.231773214731067,189,276,523
1137,1164,0.07858910891089109,0.6846361185983828,4.230867945143352,254,371,523
1164,1269,0.06033415841584158,0.372848948374761,4.155337245335268,195,523,290
1262,1164,0.022896039603960396,0.6548672566371682,4.046904346943265,74,113,523
1020,1177,0.02073019801980198,0.3383838383838384,4.035633083603563,67,198,271
1140,1164,0.038366336633663366,0.6526315789473685,4.033088457280869,124,190,523
1020,1181,0.025371287128712873,0.41414141414141414,3.913757457617107,82,198,342
1163,1137,0.04702970297029703,0.4318181818181818,3.7618230825777994,152,352,371
1189,1181,0.021967821782178217,0.39226519337016574,3.7070207747730284,71,181,342
1151,1426,0.024443069306930694,0.316,3.7004057971014492,79,250,276
1426,1137,0.03558168316831683,0.4166666666666667,3.629829290206649,115,276,371
1151,1163,0.03001237623762376,0.388,3.5625454545454547,97,250,352
1555,1164,0.021967821782178217,0.5725806451612904,3.538395115031148,71,124,523
1151,1164,0.04238861386138614,0.548,3.3864933078393884,137,250,523
1426,1044,0.03310643564356436,0.38768115942028986,3.3235689847384,107,276,377
1137,1044,0.04424504950495049,0.38544474393531,3.304396319360535,143,371,377
1149,1163,0.020111386138613862,0.34946236559139787,3.2086999022482896,65,186,352
1163,1044,0.039294554455445545,0.36079545454545453,3.0930793344586447,127,352,377
1149,1137,0.02042079207920792,0.3548387096774194,3.0912094600469526,66,186,371
1164,1044,0.05816831683168317,0.35946462715105165,3.0816702253373975,188,523,377
1426,1166,0.02568069306930693,0.3007246376811594,3.027856788116845,83,276,321
1269,1166,0.026918316831683168,0.3,3.020560747663551,87,290,321
1269,1044,0.03125,0.3482758620689655,2.985749565535534,101,290,377
1163,1167,0.0327970297029703,0.30113636363636365,2.931544359255203,106,352,332
1149,1164,0.026918316831683168,0.46774193548387094,2.890519953124036,87,186,523
1166,1163,0.03063118811881188,0.308411214953271,2.831775700934579,99,321,352
1166,1164,0.04424504950495049,0.4454828660436137,2.7529648624339567,143,321,523
1151,1137,0.023514851485148515,0.304,2.6483234501347708,76,250,371
1167,1164,0.039603960396039604,0.3855421686746988,2.382547398005022,128,332,523
